x,y,z,nx,ny,nz,u,v
0.37031484,1.00000000,0.07593067,0.720181,-0.316503,0.617386,0.024472,0.200000
0.46114963,1.25000000,0.09813453,0.719215,-0.316263,0.618634,0.024472,0.250000
0.55198441,1.50000000,0.12033838,0.718189,-0.316008,0.619954,0.024472,0.300000
0.64281920,1.75000000,0.14254223,0.717099,-0.315736,0.621353,0.024472,0.350000
0.73365398,2.00000000,0.16474609,0.715938,-0.315446,0.622837,0.024472,0.400000
0.82448877,2.25000000,0.18694994,0.714699,-0.315136,0.624415,0.024472,0.450000
0.91532355,2.50000000,0.20915379,0.713374,-0.314804,0.626096,0.024472,0.500000
1.00615834,2.75000000,0.23135764,0.711953,-0.314447,0.627890,0.024472,0.550000
1.09699313,3.00000000,0.25356150,0.710426,-0.314062,0.629809,0.024472,0.600000
1.18782791,3.25000000,0.27576535,0.708780,-0.313647,0.631867,0.024472,0.650000
1.27866270,3.50000000,0.29796920,0.707002,-0.313197,0.634078,0.024472,0.700000
1.36949748,3.75000000,0.32017305,0.705074,-0.312709,0.636462,0.024472,0.750000
1.46033227,4.00000000,0.34237691,0.702978,-0.312176,0.639037,0.024472,0.800000
1.55116705,4.25000000,0.36458076,0.700689,-0.311592,0.641829,0.024472,0.850000
1.64200184,4.50000000,0.38678461,0.698181,-0.310951,0.644867,0.024472,0.900000
1.73283662,4.75000000,0.40898847,0.695420,-0.310242,0.648183,0.024472,0.950000
1.82367141,5.00000000,0.43119232,0.692367,-0.309455,0.651817,0.024472,1.000000
0.01748727,0.00000000,-0.02210282,0.538823,-0.266979,0.798995,0.038060,0.000000
0.10807096,0.25000000,0.00034556,0.537796,-0.266678,0.799786,0.038060,0.050000
0.19865466,0.50000000,0.02279393,0.536715,-0.266361,0.800618,0.038060,0.100000
0.28923836,0.75000000,0.04524231,0.535573,-0.266026,0.801493,0.038060,0.150000
0.37982206,1.00000000,0.06769068,0.534367,-0.265671,0.802416,0.038060,0.200000
0.47040575,1.25000000,0.09013905,0.533090,-0.265296,0.803389,0.038060,0.250000
0.56098945,1.50000000,0.11258743,0.531735,-0.264898,0.804417,0.038060,0.300000
0.65157315,1.75000000,0.13503580,0.530297,-0.264474,0.805505,0.038060,0.350000
0.74215684,2.00000000,0.15748418,0.528766,-0.264023,0.806659,0.038060,0.400000
0.83274054,2.25000000,0.17993255,0.527133,-0.263541,0.807884,0.038060,0.450000
0.92332424,2.50000000,0.20238092,0.525389,-0.263026,0.809187,0.038060,0.500000
1.01390794,2.75000000,0.22482930,0.523521,-0.262474,0.810576,0.038060,0.550000
1.10449163,3.00000000,0.24727767,0.521515,-0.261881,0.812059,0.038060,0.600000
1.19507533,3.25000000,0.26972604,0.519356,-0.261241,0.813648,0.038060,0.650000
1.28565903,3.50000000,0.29217442,0.517026,-0.260550,0.815352,0.038060,0.700000
1.37624272,3.75000000,0.31462279,0.514503,-0.259800,0.817185,0.038060,0.750000
1.46682642,4.00000000,0.33707117,0.511763,-0.258985,0.819162,0.038060,0.800000
1.55741012,4.25000000,0.35951954,0.508776,-0.258095,0.821300,0.038060,0.850000
1.64799381,4.50000000,0.38196791,0.505508,-0.257119,0.823621,0.038060,0.900000
1.73857751,4.75000000,0.40441629,0.501918,-0.256045,0.826147,0.038060,0.950000
1.82916121,5.00000000,0.42686466,0.497955,-0.254857,0.828908,0.038060,1.000000
0.03379212,0.00000000,-0.03071137,0.383616,-0.219779,0.896959,0.054497,0.000000
0.12397890,0.25000000,-0.00802616,0.382444,-0.219410,0.897550,0.054497,0.050000
0.21416568,0.50000000,0.01465906,0.381210,-0.219021,0.898170,0.054497,0.100000
0.30435246,0.75000000,0.03734428,0.379908,-0.218610,0.898821,0.054497,0.150000
0.39453924,1.00000000,0.06002949,0.378532,-0.218176,0.899507,0.054497,0.200000
0.48472602,1.25000000,0.08271471,0.377076,-0.217717,0.900229,0.054497,0.250000
0.57491280,1.50000000,0.10539992,0.375533,-0.217229,0.900992,0.054497,0.300000
0.66509958,1.75000000,0.12808514,0.373895,-0.216711,0.901798,0.054497,0.350000
0.75528636,2.00000000,0.15077036,0.372152,-0.216160,0.902650,0.054497,0.400000
0.84547314,2.25000000,0.17345557,0.370295,-0.215572,0.903554,0.054497,0.450000
0.93565992,2.50000000,0.19614079,0.368311,-0.214943,0.904515,0.054497,0.500000
1.02584670,2.75000000,0.21882600,0.366187,-0.214270,0.905536,0.054497,0.550000
1.11603348,3.00000000,0.24151122,0.363909,-0.213547,0.906625,0.054497,0.600000
1.20622026,3.25000000,0.26419644,0.361458,-0.212768,0.907787,0.054497,0.650000
1.29640705,3.50000000,0.28688165,0.358815,-0.211928,0.909032,0.054497,0.700000
1.38659383,3.75000000,0.30956687,0.355955,-0.211017,0.910367,0.054497,0.750000
1.47678061,4.00000000,0.33225208,0.352851,-0.210028,0.911803,0.054497,0.800000
1.56696739,4.25000000,0.35493730,0.349471,-0.208949,0.913351,0.054497,0.850000
1.65715417,4.50000000,0.37762252,0.345777,-0.207768,0.915025,0.054497,0.900000
1.74734095,4.75000000,0.40030773,0.341722,-0.206470,0.916840,0.054497,0.950000
1.83752773,5.00000000,0.42299295,0.337251,-0.205036,0.918816,0.054497,1.000000
0.05608288,0.00000000,-0.03857719,0.278577,-0.186232,0.942185,0.073680,0.000000
0.14572192,0.25000000,-0.01566589,0.277334,-0.185827,0.942632,0.073680,0.050000
0.23536096,0.50000000,0.00724541,0.276024,-0.185401,0.943100,0.073680,0.100000
0.32500000,0.75000000,0.03015670,0.274643,-0.184951,0.943591,0.073680,0.150000
0.41463904,1.00000000,0.05306800,0.273185,-0.184475,0.944108,0.073680,0.200000
0.50427808,1.25000000,0.07597929,0.271641,-0.183971,0.944651,0.073680,0.250000
0.59391712,1.50000000,0.09889059,0.270006,-0.183437,0.945224,0.073680,0.300000
0.68355616,1.75000000,0.12180189,0.268270,-0.182870,0.945828,0.073680,0.350000
0.77319520,2.00000000,0.14471318,0.266424,-0.182267,0.946466,0.073680,0.400000
0.86283424,2.25000000,0.16762448,0.264457,-0.181623,0.947141,0.073680,0.450000
0.95247328,2.50000000,0.19053577,0.262357,-0.180936,0.947856,0.073680,0.500000
1.04211231,2.75000000,0.21344707,0.260109,-0.180200,0.948615,0.073680,0.550000
1.13175135,3.00000000,0.23635837,0.257699,-0.179410,0.949423,0.073680,0.600000
1.22139039,3.25000000,0.25926966,0.255107,-0.178559,0.950283,0.073680,0.650000
1.31102943,3.50000000,0.28218096,0.252313,-0.177641,0.951200,0.073680,0.700000
1.40066847,3.75000000,0.30509225,0.249291,-0.176648,0.952181,0.073680,0.750000
1.49030751,4.00000000,0.32800355,0.246014,-0.175569,0.953233,0.073680,0.800000
1.57994655,4.25000000,0.35091485,0.242446,-0.174393,0.954362,0.073680,0.850000
1.66958559,4.50000000,0.37382614,0.238549,-0.173107,0.955577,0.073680,0.900000
1.75922463,4.75000000,0.39673744,0.234274,-0.171695,0.956889,0.073680,0.950000
1.84886367,5.00000000,0.41964873,0.229564,-0.170136,0.958308,0.073680,1.000000
0.08448939,0.00000000,-0.04578118,0.213049,-0.164887,0.963028,0.095492,0.000000
0.17342672,0.25000000,-0.02265237,0.211771,-0.164465,0.963382,0.095492,0.050000
0.26236405,0.50000000,0.00047644,0.210426,-0.164021,0.963752,0.095492,0.100000
0.35130138,0.75000000,0.02360525,0.209007,-0.163552,0.964140,0.095492,0.150000
0.44023871,1.00000000,0.04673406,0.207508,-0.163056,0.964548,0.095492,0.200000
0.52917604,1.25000000,0.06986287,0.205923,-0.162532,0.964976,0.095492,0.250000
0.61811337,1.50000000,0.09299168,0.204243,-0.161976,0.965427,0.095492,0.300000
0.70705070,1.75000000,0.11612049,0.202461,-0.161386,0.965901,0.095492,0.350000
0.79598803,2.00000000,0.13924930,0.200566,-0.160758,0.966401,0.095492,0.400000
0.88492535,2.25000000,0.16237811,0.198546,-0.160088,0.966929,0.095492,0.450000
0.97386268,2.50000000,0.18550692,0.196391,-0.159373,0.967487,0.095492,0.500000
1.06280001,2.75000000,0.20863573,0.194085,-0.158608,0.968078,0.095492,0.550000
1.15173734,3.00000000,0.23176454,0.191613,-0.157786,0.968704,0.095492,0.600000
1.24067467,3.25000000,0.25489335,0.188955,-0.156902,0.969370,0.095492,0.650000
1.32961200,3.50000000,0.27802216,0.186090,-0.155948,0.970078,0.095492,0.700000
1.41854933,3.75000000,0.30115097,0.182992,-0.154916,0.970832,0.095492,0.750000
1.50748666,4.00000000,0.32427978,0.179634,-0.153796,0.971637,0.095492,0.800000
1.59642399,4.25000000,0.34740859,0.175979,-0.152575,0.972498,0.095492,0.850000
1.68536132,4.50000000,0.37053740,0.171988,-0.151241,0.973420,0.095492,0.900000
1.77429864,4.75000000,0.39366621,0.167612,-0.149775,0.974409,0.095492,0.950000
1.86323597,5.00000000,0.41679502,0.162792,-0.148159,0.975473,0.095492,1.000000
0.11907458,0.00000000,-0.05267976,0.177891,-0.153448,0.972012,0.119797,0.000000
0.20715512,0.25000000,-0.02933300,0.176599,-0.153021,0.972315,0.119797,0.050000
