x,y,z,nx,ny,nz,u,v
0.27998012,0.75000000,0.09544131,-0.800410,0.244429,0.547357,0.024472,0.150000
0.37073758,1.00000000,0.11651711,-0.801187,0.244822,0.546042,0.024472,0.200000
0.46149503,1.25000000,0.13759291,-0.802007,0.245237,0.544651,0.024472,0.250000
0.55225248,1.50000000,0.15866871,-0.802872,0.245675,0.543176,0.024472,0.300000
0.64300993,1.75000000,0.17974450,-0.803787,0.246139,0.541611,0.024472,0.350000
0.73376738,2.00000000,0.20082030,-0.804756,0.246631,0.539946,0.024472,0.400000
0.82452483,2.25000000,0.22189610,-0.805783,0.247154,0.538171,0.024472,0.450000
0.91528229,2.50000000,0.24297190,-0.806875,0.247710,0.536277,0.024472,0.500000
1.00603974,2.75000000,0.26404770,-0.808037,0.248303,0.534249,0.024472,0.550000
1.09679719,3.00000000,0.28512350,-0.809277,0.248936,0.532073,0.024472,0.600000
1.18755464,3.25000000,0.30619930,-0.810602,0.249615,0.529733,0.024472,0.650000
1.27831209,3.50000000,0.32727510,-0.812022,0.250343,0.527209,0.024472,0.700000
1.36906954,3.75000000,0.34835090,-0.813546,0.251126,0.524479,0.024472,0.750000
1.45982700,4.00000000,0.36942670,-0.815187,0.251972,0.521517,0.024472,0.800000
1.55058445,4.25000000,0.39050250,-0.816959,0.252887,0.518293,0.024472,0.850000
1.64134190,4.50000000,0.41157830,-0.818877,0.253880,0.514768,0.024472,0.900000
1.73209935,4.75000000,0.43265410,-0.820960,0.254962,0.510901,0.024472,0.950000
1.82285680,5.00000000,0.45372990,-0.823230,0.256146,0.506638,0.024472,1.000000
0.01795605,0.00000000,0.04438463,-0.697236,0.195008,0.689807,0.038060,0.000000
0.10844102,0.25000000,0.06516916,-0.698105,0.195405,0.688816,0.038060,0.050000
0.19892599,0.50000000,0.08595368,-0.699018,0.195822,0.687770,0.038060,0.100000
0.28941096,0.75000000,0.10673820,-0.699978,0.196262,0.686667,0.038060,0.150000
0.37989593,1.00000000,0.12752273,-0.700991,0.196725,0.685501,0.038060,0.200000
0.47038090,1.25000000,0.14830725,-0.702058,0.197214,0.684266,0.038060,0.250000
0.56086587,1.50000000,0.16909177,-0.703187,0.197732,0.682957,0.038060,0.300000
0.65135084,1.75000000,0.18987629,-0.704381,0.198279,0.681566,0.038060,0.350000
0.74183580,2.00000000,0.21066082,-0.705647,0.198861,0.680086,0.038060,0.400000
0.83232077,2.25000000,0.23144534,-0.706990,0.199478,0.678508,0.038060,0.450000
0.92280574,2.50000000,0.25222986,-0.708420,0.200136,0.676821,0.038060,0.500000
1.01329071,2.75000000,0.27301439,-0.709943,0.200837,0.675015,0.038060,0.550000
1.10377568,3.00000000,0.29379891,-0.711570,0.201588,0.673075,0.038060,0.600000
1.19426065,3.25000000,0.31458343,-0.713312,0.202391,0.670987,0.038060,0.650000
1.28474562,3.50000000,0.33536796,-0.715181,0.203255,0.668733,0.038060,0.700000
1.37523059,3.75000000,0.35615248,-0.717190,0.204185,0.666293,0.038060,0.750000
1.46571556,4.00000000,0.37693700,-0.719358,0.205190,0.663643,0.038060,0.800000
1.55620053,4.25000000,0.39772152,-0.721702,0.206279,0.660754,0.038060,0.850000
1.64668550,4.50000000,0.41850605,-0.724245,0.207462,0.657593,0.038060,0.900000
1.73717047,4.75000000,0.43929057,-0.727014,0.208753,0.654119,0.038060,0.950000
1.82765544,5.00000000,0.46007509,-0.730040,0.210167,0.650286,0.038060,1.000000
0.03386734,0.00000000,0.05811764,-0.593625,0.149144,0.790800,0.054497,0.000000
0.12393601,0.25000000,0.07857918,-0.594646,0.149582,0.789950,0.054497,0.050000
0.21400468,0.50000000,0.09904073,-0.595720,0.150042,0.789053,0.054497,0.100000
0.30407336,0.75000000,0.11950227,-0.596850,0.150526,0.788107,0.054497,0.150000
0.39414203,1.00000000,0.13996382,-0.598041,0.151037,0.787105,0.054497,0.200000
0.48421071,1.25000000,0.16042537,-0.599298,0.151577,0.786045,0.054497,0.250000
0.57427938,1.50000000,0.18088691,-0.600627,0.152148,0.784919,0.054497,0.300000
0.66434805,1.75000000,0.20134846,-0.602034,0.152753,0.783723,0.054497,0.350000
0.75441673,2.00000000,0.22181000,-0.603527,0.153395,0.782448,0.054497,0.400000
0.84448540,2.25000000,0.24227155,-0.605113,0.154078,0.781088,0.054497,0.450000
0.93455407,2.50000000,0.26273309,-0.606800,0.154805,0.779634,0.054497,0.500000
1.02462275,2.75000000,0.28319464,-0.608601,0.155581,0.778074,0.054497,0.550000
1.11469142,3.00000000,0.30365619,-0.610525,0.156411,0.776399,0.054497,0.600000
1.20476010,3.25000000,0.32411773,-0.612586,0.157302,0.774593,0.054497,0.650000
1.29482877,3.50000000,0.34457928,-0.614800,0.158259,0.772642,0.054497,0.700000
1.38489744,3.75000000,0.36504082,-0.617183,0.159291,0.770527,0.054497,0.750000
1.47496612,4.00000000,0.38550237,-0.619756,0.160406,0.768227,0.054497,0.800000
1.56503479,4.25000000,0.40596391,-0.622542,0.161615,0.765716,0.054497,0.850000
1.65510346,4.50000000,0.42642546,-0.625569,0.162931,0.762966,0.054497,0.900000
1.74517214,4.75000000,0.44688701,-0.628869,0.164368,0.759939,0.054497,0.950000
1.83524081,5.00000000,0.46734855,-0.632480,0.165942,0.756592,0.054497,1.000000
0.05627622,0.00000000,0.07276203,-0.495167,0.107852,0.862078,0.073680,0.000000
0.14576474,0.25000000,0.09288629,-0.496298,0.108314,0.861369,0.073680,0.050000
0.23525326,0.50000000,0.11301054,-0.497488,0.108800,0.860621,0.073680,0.100000
0.32474179,0.75000000,0.13313480,-0.498741,0.109313,0.859830,0.073680,0.150000
0.41423031,1.00000000,0.15325905,-0.500062,0.109853,0.858994,0.073680,0.200000
0.50371883,1.25000000,0.17338330,-0.501457,0.110424,0.858107,0.073680,0.250000
0.59320736,1.50000000,0.19350756,-0.502932,0.111027,0.857165,0.073680,0.300000
0.68269588,1.75000000,0.21363181,-0.504495,0.111668,0.856163,0.073680,0.350000
0.77218440,2.00000000,0.23375606,-0.506153,0.112347,0.855095,0.073680,0.400000
0.86167293,2.25000000,0.25388032,-0.507916,0.113070,0.853954,0.073680,0.450000
0.95116145,2.50000000,0.27400457,-0.509793,0.113840,0.852732,0.073680,0.500000
