x,y,z,nx,ny,nz,u,v
1.06648385,2.75000000,0.30738154,-0.401856,0.070301,0.913000,0.100000,0.550000
1.15504813,3.00000000,0.32711294,-0.404184,0.071213,0.911902,0.100000,0.600000
1.24361241,3.25000000,0.34684435,-0.406680,0.072191,0.910714,0.100000,0.650000
1.33217669,3.50000000,0.36657575,-0.409365,0.073243,0.909426,0.100000,0.700000
1.42074098,3.75000000,0.38630715,-0.412259,0.074379,0.908026,0.100000,0.750000
1.50930526,4.00000000,0.40603855,-0.415388,0.075608,0.906497,0.100000,0.800000
1.59786954,4.25000000,0.42576996,-0.418782,0.076943,0.904821,0.100000,0.850000
1.68643383,4.50000000,0.44550136,-0.422475,0.078397,0.902978,0.100000,0.900000
1.77499811,4.75000000,0.46523276,-0.426510,0.079987,0.900939,0.100000,0.950000
1.86356239,5.00000000,0.48496417,-0.430935,0.081733,0.898674,0.100000,1.000000
0.13087159,0.00000000,0.10422593,-0.295752,0.029384,0.954813,0.125000,0.000000
0.21845151,0.25000000,0.12366011,-0.297029,0.029863,0.954401,0.125000,0.050000
0.30603143,0.50000000,0.14309429,-0.298372,0.030368,0.953966,0.125000,0.100000
0.39361134,0.75000000,0.16252847,-0.299788,0.030899,0.953505,0.125000,0.150000
0.48119126,1.00000000,0.18196265,-0.301281,0.031460,0.953016,0.125000,0.200000
0.56877117,1.25000000,0.20139683,-0.302859,0.032053,0.952496,0.125000,0.250000
0.65635109,1.50000000,0.22083101,-0.304528,0.032681,0.951942,0.125000,0.300000
0.74393100,1.75000000,0.24026519,-0.306298,0.033347,0.951351,0.125000,0.350000
0.83151092,2.00000000,0.25969936,-0.308177,0.034055,0.950719,0.125000,0.400000
0.91909084,2.25000000,0.27913354,-0.310176,0.034808,0.950042,0.125000,0.450000
1.00667075,2.50000000,0.29856772,-0.312306,0.035610,0.949314,0.125000,0.500000
1.09425067,2.75000000,0.31800190,-0.314581,0.036468,0.948530,0.125000,0.550000
1.18183058,3.00000000,0.33743608,-0.317016,0.037387,0.947683,0.125000,0.600000
1.26941050,3.25000000,0.35687026,-0.319629,0.038374,0.946765,0.125000,0.650000
1.35699041,3.50000000,0.37630444,-0.322440,0.039436,0.945768,0.125000,0.700000
1.44457033,3.75000000,0.39573862,-0.325471,0.040582,0.944681,0.125000,0.750000
1.53215025,4.00000000,0.41517279,-0.328750,0.041824,0.943490,0.125000,0.800000
1.61973016,4.25000000,0.43460697,-0.332309,0.043172,0.942182,0.125000,0.850000
1.70731008,4.50000000,0.45404115,-0.336184,0.044642,0.940738,0.125000,0.900000
1.79488999,4.75000000,0.47347533,-0.340420,0.046251,0.939135,0.125000,0.950000
1.88246991,5.00000000,0.49290951,-0.345068,0.048018,0.937348,0.125000,1.000000
0.17280557,0.00000000,0.11537283,-0.220318,0.001292,0.975427,0.150000,0.000000
0.25932112,0.25000000,0.13458282,-0.221627,0.001768,0.975130,0.150000,0.050000
0.34583666,0.50000000,0.15379281,-0.223004,0.002268,0.974815,0.150000,0.100000
0.43235221,0.75000000,0.17300280,-0.224455,0.002796,0.974480,0.150000,0.150000
0.51886775,1.00000000,0.19221279,-0.225986,0.003354,0.974125,0.150000,0.200000
0.60538330,1.25000000,0.21142278,-0.227604,0.003943,0.973746,0.150000,0.250000
0.69189884,1.50000000,0.23063277,-0.229317,0.004566,0.973341,0.150000,0.300000
0.77841439,1.75000000,0.24984276,-0.231133,0.005228,0.972908,0.150000,0.350000
0.86492993,2.00000000,0.26905276,-0.233061,0.005931,0.972444,0.150000,0.400000
0.95144548,2.25000000,0.28826275,-0.235112,0.006679,0.971945,0.150000,0.450000
1.03796102,2.50000000,0.30747274,-0.237300,0.007478,0.971408,0.150000,0.500000
1.12447657,2.75000000,0.32668273,-0.239636,0.008331,0.970827,0.150000,0.550000
1.21099211,3.00000000,0.34589272,-0.242138,0.009245,0.970198,0.150000,0.600000
1.29750766,3.25000000,0.36510271,-0.244823,0.010227,0.969514,0.150000,0.650000
1.38402320,3.50000000,0.38431270,-0.247713,0.011284,0.968768,0.150000,0.700000
1.47053875,3.75000000,0.40352269,-0.250830,0.012425,0.967951,0.150000,0.750000
1.55705429,4.00000000,0.42273268,-0.254204,0.013662,0.967054,0.150000,0.800000
1.64356984,4.25000000,0.44194267,-0.257867,0.015006,0.966064,0.150000,0.850000
1.73008538,4.50000000,0.46115266,-0.261857,0.016471,0.964966,0.150000,0.900000
1.81660093,4.75000000,0.48036266,-0.266221,0.018075,0.963743,0.150000,0.950000
1.90311647,5.00000000,0.49957265,-0.271013,0.019839,0.962371,0.150000,1.000000
0.21737422,0.00000000,0.12384467,-0.155248,-0.022256,0.987625,0.175000,0.000000
0.30276294,0.25000000,0.14290089,-0.156575,-0.021787,0.987426,0.175000,0.050000
0.38815165,0.50000000,0.16195711,-0.157972,-0.021294,0.987214,0.175000,0.100000
0.47354037,0.75000000,0.18101333,-0.159444,-0.020774,0.986988,0.175000,0.150000
0.55892909,1.00000000,0.20006954,-0.160997,-0.020225,0.986748,0.175000,0.200000
0.64431781,1.25000000,0.21912576,-0.162638,-0.019645,0.986490,0.175000,0.250000
0.72970652,1.50000000,0.23818198,-0.164376,-0.019031,0.986214,0.175000,0.300000
0.81509524,1.75000000,0.25723820,-0.166219,-0.018379,0.985918,0.175000,0.350000
0.90048396,2.00000000,0.27629442,-0.168176,-0.017686,0.985598,0.175000,0.400000
0.98587267,2.25000000,0.29535064,-0.170259,-0.016948,0.985254,0.175000,0.450000
1.07126139,2.50000000,0.31440685,-0.172480,-0.016161,0.984880,0.175000,0.500000
1.15665011,2.75000000,0.33346307,-0.174853,-0.015320,0.984475,0.175000,0.550000
1.24203883,3.00000000,0.35251929,-0.177394,-0.014418,0.984034,0.175000,0.600000
1.32742754,3.25000000,0.37157551,-0.180123,-0.013449,0.983552,0.175000,0.650000
1.41281626,3.50000000,0.39063173,-0.183060,-0.012406,0.983024,0.175000,0.700000
1.49820498,3.75000000,0.40968794,-0.186229,-0.011279,0.982442,0.175000,0.750000
1.58359370,4.00000000,0.42874416,-0.189661,-0.010058,0.981798,0.175000,0.800000
